"","SRR11647685","SRR11647686","SRR11647687","SRR11647695","SRR11647696","SRR11647697"
"ENSG00000160087.22",8.1517860126068,8.19061435742257,7.93367242149042,8.06143532714332,8.73393609506616,8.98601786592206
"ENSG00000230415.2",3.71420922273448,3.89449094203214,4.54233107355991,3.82885295922841,4.08618450602861,3.20448759227673
"ENSG00000162572.21",5.69135874162068,5.61285327759753,5.71612939893266,5.21706396860234,5.07339945090518,4.93238303145026
"ENSG00000131584.20",8.77474129892301,9.33265556282584,9.07007992764959,9.50714402095917,8.38868207883345,8.08270705062026
"ENSG00000169972.14",6.66268817033148,6.27642021831291,5.76349455009046,5.96983146410933,6.10215901683046,6.28571839773699
"ENSG00000127054.23",9.12056293185335,9.23052420187662,9.26833780486013,9.18509710316335,9.17848315580165,9.27709942867661
"ENSG00000240731.1",5.8789854584227,6.1039199838466,6.1644206077395,5.8401382481237,5.75910718749965,5.41881232542177
"ENSG00000224051.8",8.33971992058985,8.41629952033762,8.13515521327198,7.71463538110362,7.64404419016898,7.7166098898348
"ENSG00000169962.5",5.69135874162068,5.27846648499946,5.07879833369364,5.50792991994365,3.97095235095856,3.20448759227673
"ENSG00000107404.22",9.01424670139339,9.16450208280751,8.83477662291449,8.57115378355738,8.5512692075689,8.85300316775955
"ENSG00000304860.1",4.20883704298722,4.28077380410056,4.25494920623463,3.64768922233784,3.83271405382899,3.20448759227673
"ENSG00000162576.18",8.23773483678336,8.79367829989409,8.62363584383086,9.36087612685115,9.41831388810679,10.7438695218259
"ENSG00000175756.15",8.85303995451232,9.03746417825215,8.08170552533426,8.4854580989231,9.1718341010955,9.6462255451558
"ENSG00000221978.14",10.0437197984633,10.3904252007534,10.5992780175411,10.9908798050257,9.94693899418194,9.71465787369811
"ENSG00000224870.10",6.32487449629834,6.78237109696468,6.63360245364851,6.85683380505689,6.97823299940311,7.41095254073029
"ENSG00000242485.7",9.37421508676046,9.04922077572164,8.52702016911908,8.84327670161194,9.28295672140416,9.89547536544661
"ENSG00000301639.1",3.92168993085645,3.89449094203214,3.64120379958124,4.62244246527487,4.08618450602861,4.07192474765923
"ENSG00000272455.1",5.39207032703374,5.70795129289726,5.5631847177874,5.72181505123301,5.03157455176603,5.83316632288319
"ENSG00000235098.10",7.38159173425809,7.08761061917343,7.05205083736724,8.42413030918456,7.06732145313044,7.77064601116501
"ENSG00000225905.2",4.94449365963126,5.19088335529092,4.76724395359066,5.67144397608362,4.50339408566583,4.6663226726421
"ENSG00000205116.4",4.88310934143014,4.46702883748123,4.54233107355991,4.56100588431793,5.42965469954889,4.20132552544726
"ENSG00000225285.2",5.3053114910213,5.14472321282345,5.22674385972847,4.56100588431793,5.11386095566526,5.89140252823635
"ENSG00000179403.13",8.37048110111177,8.84517095980235,8.46577999636638,8.52035031855222,9.40514680727902,11.1041845525553
"ENSG00000215915.10",6.19149406951935,5.32011737105391,5.15493915348938,5.53660768387165,4.98827747962614,5.60718739853854
"ENSG00000160072.21",7.06689786478757,7.70945042013751,7.41188993570458,7.66553592756777,7.28911216737157,7.54112132005807
"ENSG00000197785.15",7.15229125137798,7.21881053151109,6.80938004224788,7.50029782359087,7.60501394236256,7.88002069380465
"ENSG00000205090.10",4.94449365963126,4.28077380410056,4.4779017452831,4.18068797538561,4.43339899728814,5.41881232542177
"ENSG00000160075.13",10.8977092372088,10.8998875306334,10.3312508780309,10.1479182550998,10.7222675783588,10.9407189092037
"ENSG00000215014.5",4.42300633790952,4.46702883748123,4.40912737382042,4.08084467490131,4.63068960217118,5.19879354311828
"ENSG00000228594.4",6.16797383906926,5.90695984261718,5.53591026343453,7.31352880659056,6.67173354624553,6.3486884460148
"ENSG00000286989.2",4.20883704298722,4.69495571713648,4.06829755909197,4.838936277304,4.56894477374,3.20448759227673
"ENSG00000272106.1",6.28180915293374,6.81045796997365,6.37419086328185,6.34697114150714,5.60446865782597,6.28571839773699
"ENSG00000197530.14",8.39062955978741,8.736646441373,8.22416768840776,8.4748235048266,8.23121168707048,8.67041091839481
"ENSG00000189409.15",3.92168993085645,4.17142669389946,3.95529216624375,4.35127424538768,4.18659394623208,4.07192474765923
"ENSG00000248333.10",8.95123215827563,9.0867808626835,9.41228150484374,9.00225386011417,9.40514680727902,9.76677899657262
"ENSG00000189339.13",8.63819768219322,8.6271477860658,8.54357936681473,8.7316032028667,7.98520468958604,7.4775123924869
"ENSG00000293187.1",4.59880564646377,4.46702883748123,5.89646073194976,5.47861961779118,4.18659394623208,3.91622432200816
"ENSG00000269737.3",3.92168993085645,3.69469561858317,4.4779017452831,4.35127424538768,3.20448759227673,3.91622432200816
"ENSG00000310190.1",3.20448759227673,3.69469561858317,4.33518493609586,3.96627658271108,3.65045114690801,3.71028626417903
"ENSG00000008128.24",4.42300633790952,4.99504587743246,5.11744723314561,5.32140776678649,4.56894477374,4.07192474765923
"ENSG00000268575.1",4.42300633790952,4.17142669389946,4.71514315162187,4.93366920236027,4.18659394623208,3.91622432200816
"ENSG00000293188.2",5.96396841387474,6.19283006508416,7.81307553767514,6.59200709264673,5.26384796759719,6.70904939516477
"ENSG00000290854.2",4.51462482048822,4.54854812403889,5.03890879972485,5.10341262277906,3.97095235095856,3.91622432200816
"ENSG00000008130.16",8.41542518528333,8.38879168428073,8.45531536612769,8.83498696546449,9.63842962482082,9.06525089546207
"ENSG00000078369.20",11.2089078859019,10.9963866960619,10.9252304873433,11.156312887081,11.6932868204436,11.6207709976533
"ENSG00000231050.4",3.20448759227673,4.17142669389946,3.95529216624375,4.4957888115003,3.65045114690801,3.20448759227673
"ENSG00000169885.10",4.51462482048822,4.82435752259957,4.86486560537836,5.72181505123301,4.35811755799397,3.71028626417903
"ENSG00000178821.14",4.81837282675263,5.09680611488882,5.07879833369364,4.88724735456306,4.68912687484386,3.91622432200816
"ENSG00000142609.20",3.20448759227673,3.89449094203214,4.06829755909197,3.82885295922841,4.35811755799397,4.07192474765923
"ENSG00000233542.3",3.20448759227673,4.04567675336828,3.95529216624375,3.20448759227673,5.65800499704051,4.58872844209527
"ENSG00000187730.10",4.07852229288954,3.89449094203214,4.06829755909197,3.82885295922841,5.46043630559077,5.04591674572416
"ENSG00000067606.18",7.14039996983954,7.26000073375691,7.44053006397692,6.76613957935068,7.05769270779728,5.74088215150686
"ENSG00000182873.5",4.88310934143014,5.39961537358774,5.35930904192649,5.06312074356301,4.79759675044398,4.73882742394825
"ENSG00000162585.18",7.647894059352,8.01575443350595,7.22688089555389,7.4358271432312,8.17907861725934,8.78721158981129
"ENSG00000304038.1",3.92168993085645,4.04567675336828,4.4779017452831,3.96627658271108,3.20448759227673,3.71028626417903
"ENSG00000157933.12",9.68055830932242,9.56124249315095,9.86230651107052,9.7556805598194,9.3687894738225,10.228470839508
"ENSG00000287356.2",4.32204544747478,4.04567675336828,3.95529216624375,4.18068797538561,3.83271405382899,3.20448759227673
"ENSG00000116151.15",5.75681266989576,5.90695984261718,5.8535571405104,6.19761992481216,5.22797606664711,4.99047164293454
"ENSG00000292993.1",3.92168993085645,5.09680611488882,4.33518493609586,5.35439734674028,4.50339408566583,4.31376170434831
"ENSG00000272420.1",3.92168993085645,4.17142669389946,4.40912737382042,4.18068797538561,3.65045114690801,4.87134223009766
"ENSG00000157916.21",10.1270892290265,10.2202160127025,9.91414002474628,9.63993412792863,10.348744556915,10.1034375117468
"ENSG00000157911.12",7.0794136505221,6.89153982606675,6.55670504070328,6.64397705163469,6.90488127084389,6.99620091582476
"ENSG00000149527.18",8.01564994839652,7.99764824577646,8.01673052535214,8.24793764673183,6.55287883576657,5.1498734043299
"ENSG00000157881.17",7.18738336817986,7.00512156245153,6.90528440496902,7.6779689708837,7.29730725888743,7.79319667205558
"ENSG00000197921.6",3.20448759227673,4.28077380410056,4.40912737382042,4.93366920236027,4.08618450602861,3.20448759227673
"ENSG00000272449.4",3.92168993085645,4.17142669389946,4.06829755909197,4.08084467490131,3.97095235095856,4.20132552544726
"ENSG00000238164.7",4.67687988267849,4.37837929546679,5.11744723314561,4.735854154617,4.50339408566583,4.99047164293454
"ENSG00000157873.19",8.42033350385423,8.49580536999984,8.48305389090806,8.69847546341253,8.61149271527735,8.39409564990899
"ENSG00000228037.2",4.20883704298722,4.04567675336828,5.11744723314561,3.82885295922841,4.08618450602861,3.71028626417903
"ENSG00000157870.18",7.22163559742018,7.41385201817636,7.50295351457831,7.24822982507757,8.17907861725934,8.13657466440083
"ENSG00000142606.16",5.69135874162068,5.61285327759753,5.35930904192649,3.64768922233784,3.83271405382899,3.91622432200816
"ENSG00000215912.13",4.32204544747478,4.37837929546679,4.33518493609586,4.4957888115003,3.97095235095856,3.91622432200816
"ENSG00000177133.15",4.88310934143014,5.39961537358774,6.32849096813706,4.18068797538561,4.18659394623208,4.80697630767269
"ENSG00000142611.17",5.16314466402918,5.90695984261718,7.41910375646523,4.4957888115003,4.35811755799397,5.29133851255518
"ENSG00000287828.2",3.20448759227673,3.20448759227673,3.64120379958124,3.64768922233784,3.83271405382899,4.80697630767269
"ENSG00000130762.16",7.46012357668884,7.35807485701096,7.92357798785428,8.40184643322564,6.68434511169157,6.30702365977998
"ENSG00000272088.1",4.32204544747478,4.17142669389946,3.95529216624375,4.2699972330958,3.83271405382899,3.20448759227673
"ENSG00000162591.18",8.71209326146331,9.10379170178918,8.93606215964368,8.98737154155277,7.92314208462365,6.90214034644428
"ENSG00000238260.4",3.71420922273448,3.69469561858317,4.91079272490133,4.735854154617,4.18659394623208,3.91622432200816
"ENSG00000158109.16",10.1901933685216,10.3494213963941,9.97030946197505,9.71862169956162,9.37652019076191,9.65444697768926
"ENSG00000116213.17",7.01570875708947,7.0645242193615,7.061319079795,7.71463538110362,7.55809621500244,7.40118677189737
"ENSG00000078900.17",7.26606671174974,7.02917985840984,6.89494161888811,7.36062155777592,6.87225179261064,5.1498734043299
"ENSG00000293478.2",6.64589392037635,7.0528396449321,7.061319079795,5.8172799048341,5.96244060862111,7.05978407253702
"ENSG00000235169.12",5.47343710414053,5.32011737105391,4.40912737382042,4.18068797538561,3.83271405382899,5.1498734043299
"ENSG00000130764.11",8.97810103726816,9.04922077572164,8.95103176643928,9.13196026052413,9.48419420431139,9.61497092804646
"ENSG00000272153.1",3.92168993085645,4.37837929546679,4.91079272490133,4.08084467490131,3.20448759227673,4.07192474765923
"ENSG00000116198.15",8.46377169940821,8.3078730133598,8.73451188889495,8.8041767706479,8.80728546558777,8.21655690395277
"ENSG00000169598.18",6.25977045472143,6.17112803463256,6.31292144535903,6.0499824574801,6.19400631322343,6.44775310665365
"ENSG00000198912.12",7.47910273901457,7.44094767088268,7.42628147797727,7.4791278197819,8.10649477977308,7.9881898950291
"ENSG00000236423.9",4.51462482048822,4.17142669389946,4.33518493609586,4.08084467490131,4.18659394623208,4.50507825207958
"ENSG00000226374.4",4.07852229288954,3.69469561858317,3.95529216624375,3.20448759227673,3.20448759227673,4.20132552544726
"ENSG00000196581.12",4.59880564646377,5.2354241359643,5.42084332528131,5.72181505123301,5.11386095566526,5.37768949408876
"ENSG00000131697.19",6.01784925277917,6.05724172080218,6.48926994083621,7.32939893197033,6.3613787546777,6.44775310665365
"ENSG00000069424.16",7.57040713647934,7.41385201817636,7.23508591485723,8.58440422728928,9.26015355574005,8.56963721059009
"ENSG00000116254.18",4.59880564646377,4.62421251992889,5.03890879972485,4.4957888115003,3.97095235095856,4.6663226726421
"ENSG00000116251.12",12.1039073800126,11.6160658258271,11.588725970117,10.7164777217824,11.6372865751366,11.7828046874444
"ENSG00000226944.2",3.20448759227673,3.89449094203214,4.25494920623463,3.96627658271108,3.20448759227673,3.71028626417903
"ENSG00000158286.14",7.28777586729668,7.73154337910119,7.65725135048949,7.79100884683557,6.95765734823354,6.36906676449789
"ENSG00000116237.17",9.6558143553051,9.82838745527397,9.67669958507637,9.55334080716708,10.2225536651622,10.3126920740539
"ENSG00000225077.4",3.20448759227673,3.89449094203214,4.16680776179013,3.64768922233784,4.08618450602861,3.91622432200816
"ENSG00000158292.8",7.78375098070674,7.91000275680537,7.56927027836292,7.79100884683557,7.66948740213425,7.56754249269364
"ENSG00000097021.22",7.9287037834829,7.78884976385097,7.04272208321612,8.33676984033388,9.30540490939211,8.92953951269634
"ENSG00000271746.1",3.92168993085645,4.28077380410056,3.81978440788196,3.82885295922841,3.20448759227673,3.91622432200816
"ENSG00000069812.12",8.09764080024427,7.82353987359918,8.31573158532882,7.63397428916374,8.81299529261515,5.04591674572416
"ENSG00000187017.18",7.26606671174974,7.21881053151109,7.56277476348273,7.85260735968671,7.25585480019374,5.1498734043299
"ENSG00000231868.1",4.07852229288954,4.17142669389946,4.16680776179013,3.64768922233784,4.08618450602861,3.20448759227673
