"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000187583.12",169.852505043501,-1.73159358713875,0.54218258690876,0.000102549170934636,0.00336331056040948
"ENSG00000187608.11",941.061622263854,3.41234953391176,0.918356859111045,8.42356015422448e-06,0.000420196120331284
"ENSG00000291156.2",41.0860065860834,-2.68388880130388,0.787600970453331,3.40635285308797e-05,0.00136438694819991
"ENSG00000217801.13",7.9668198120506,-3.23485818278925,1.24896326797041,0.000711140741179316,0.0151105018289086
"ENSG00000304119.1",53.3256064118542,-3.38130617814787,0.814979426281058,1.74870300312e-06,0.000110938659862594
"ENSG00000237330.3",117.616581054834,-2.03348839194353,1.29097703633181,0.00332534674172284,0.0462129886956297
"ENSG00000186891.14",48.3817321390104,1.99762091727369,0.650863010284503,0.000129709382220135,0.00411443557931826
"ENSG00000186827.12",38.1237893886127,3.04410423965962,0.684930422395197,4.72669908167663e-07,3.78027444915862e-05
"ENSG00000142606.16",16.1240521725839,-3.8691729310429,0.895187370922378,1.46562132042827e-06,9.61816870837848e-05
"ENSG00000142611.17",42.1597080267463,-1.81548497316094,1.08018347770838,0.00354412037092921,0.0484323407328158
"ENSG00000069424.16",296.615814491127,1.36235800478476,0.403547179962789,8.07898274030562e-05,0.00277988127735714
"ENSG00000097021.22",321.932461674185,1.08643095444419,0.491685050349952,0.00361037528300664,0.0491724647003803
"ENSG00000049249.11",73.8148525563663,3.22394659671983,0.765393511969631,1.22546495691768e-06,8.44428437686245e-05
"ENSG00000142583.19",112.773374392384,1.25115348111329,0.552396985935063,0.00238836012074362,0.0358518574924918
"ENSG00000178585.16",870.342501239187,-1.53530940086915,0.377699185603352,4.58264643061208e-06,0.00025788928023551
"ENSG00000162444.13",120.766360010686,-1.56957264780097,0.74191260743555,0.0020915028308897,0.0328936354312652
"ENSG00000116670.18",197.390065802864,1.4372562973963,0.598960617324747,0.0013382809392504,0.0237071074445424
"ENSG00000162490.8",13.171638734322,1.84813400471039,0.979400104506423,0.00306530174757202,0.0437518464180949
"ENSG00000177674.17",269.707307244085,1.41779260871471,0.536846370115637,0.000738029874326363,0.0155372710610801
