	baseMean	log2FoldChange	lfcSE	pvalue	padj	direction
ENSG00000149968.12	966.409374623596	8.94204766275354	0.989736085173625	2.12748341217579e-20	2.35889558514563e-17	up
ENSG00000196611.6	2965.87710954183	9.4872153581821	0.828568413578021	2.53126336260754e-31	1.23490214408171e-27	up
ENSG00000139800.9	51.3075002341045	9.77650431390191	3.02420149712355	2.41166846040576e-09	3.58706272894376e-07	up
ENSG00000168631.15	2677.91232430905	-13.5942848900199	1.71469345530631	1.85860221071428e-18	1.67914384170198e-15	down
ENSG00000114248.11	91.8181051326531	-11.005082919012	3.13949571169221	4.97327161047736e-13	1.49769153573302e-10	down
ENSG00000212900.3	72.6511777972317	-10.6716203630837	3.05031683294374	6.38855604423966e-14	2.29170658216379e-11	down
